Employee_ID,Age,Gender,Department,Job_Role,Education_Level,Marital_Status,Total_Work_Experience,Years_At_Company,Years_In_Current_Role,Monthly_Salary,Salary_Hike_Percent,Job_Level,Overtime,Work_Life_Balance,Job_Satisfaction,Environment_Satisfaction,Relationship_With_Manager,Training_Hours_Last_Year,Performance_Rating,Distance_From_Home,Promotion_Last_5_Years,Absenteeism_Rate,Company_Stock_Option,Attrition
E1087,34,Male,Finance,Finance Manager,High School,Single,8.2,5.2,1.3,51018,18,Level 4,No,2,0.28,0.72,2,25,4,5,Yes,6.03,No,0
E1088,23,Female,Sales,Sales Executive,PhD,Married,1.2,0.6,0.4,42298,11,Level 5,Yes,4,0.36,0.74,2,58,3,6,Yes,3.81,Yes,1
E1089,25,Female,Operations,Operations Executive,High School,Divorced,3,2.4,1.3,84613,18,Level 2,No,3,0.67,0.3,4,59,1,7,No,7.41,Yes,0
E1090,52,Male,Marketing,SEO Analyst,Diploma,Married,25.3,10,4.7,51101,8,Level 4,Yes,4,0.61,0.94,2,33,2,17,Yes,0.02,No,0
E1091,40,Female,Sales,Sales Executive,Bachelor,Single,4,3.2,1.8,64535,20,Level 2,Yes,3,0.23,0.36,5,8,5,36,Yes,6.83,Yes,1
E1092,31,Male,Research,Data Scientist,High School,Divorced,6.7,1.7,0.7,32757,6,Level 4,No,2,0.52,0.59,3,47,3,37,Yes,6.1,No,0
E1093,41,Male,Sales,Sales Representative,PhD,Married,19.1,2,0.5,48665,17,Level 4,Yes,1,0.95,0.79,3,9,2,17,Yes,8.09,Yes,0
E1094,57,Male,IT,DevOps Engineer,Bachelor,Married,28.2,12.7,3.4,98191,16,Level 3,Yes,4,0.46,0.89,3,58,1,23,No,0.41,No,0
E1095,39,Female,Research,Research Analyst,Bachelor,Single,10.4,1,0.8,112390,17,Level 5,Yes,1,0.28,0.33,5,19,2,8,No,2.1,No,1
E1096,33,Male,Finance,Finance Manager,PhD,Single,3,2.4,1.3,100287,13,Level 1,Yes,4,0.12,0.61,1,36,3,39,Yes,4.23,No,0
E1097,47,Male,Research,Research Associate,Diploma,Married,19.3,10,1.9,48591,13,Level 5,Yes,4,0.38,0.36,3,55,3,27,No,2.28,Yes,1
E1098,33,Male,Sales,Sales Representative,PhD,Married,2,0.4,0.2,60017,12,Level 1,No,4,0.37,0.83,5,6,5,29,Yes,8.84,No,0
E1099,56,Female,IT,Software Engineer,PhD,Divorced,25.9,8.3,4.4,79432,5,Level 2,No,2,0.98,0.67,4,22,1,16,Yes,9.65,Yes,0
E1100,43,Male,Human Resources,HR Manager,Bachelor,Married,8.9,4.2,2.9,44744,8,Level 4,Yes,1,0.27,0.39,4,39,2,8,No,5.29,Yes,1
E1101,23,Male,IT,Data Engineer,Master,Married,1.3,1,0.9,27370,13,Level 3,No,1,0.69,0.76,5,14,1,19,Yes,2.21,Yes,0
E1102,45,Male,Finance,Financial Analyst,Bachelor,Married,22.4,4.8,4.8,98754,24,Level 5,No,1,0.92,0.76,2,34,2,38,No,4.05,Yes,0
E1103,49,Male,IT,DevOps Engineer,Diploma,Single,9.5,5.6,2.7,31024,17,Level 3,Yes,3,0.11,0.79,4,33,3,36,Yes,4.1,Yes,0
E1104,36,Female,IT,Software Engineer,PhD,Divorced,11.6,9.7,3.7,55590,13,Level 3,No,1,0.18,0.23,5,13,4,34,Yes,5.35,Yes,0
E1105,57,Male,IT,Software Engineer,High School,Single,17.3,9.7,3.5,117166,19,Level 3,Yes,4,0.92,0.4,4,41,1,22,Yes,4.52,Yes,0
E1106,35,Female,Marketing,Brand Manager,Bachelor,Divorced,1.8,0.1,0.1,101702,14,Level 3,No,4,0.78,0.35,3,36,1,32,Yes,6.97,Yes,0
E1107,41,Female,Marketing,Marketing Specialist,PhD,Married,3.1,0.6,0.5,82913,11,Level 5,Yes,3,0.26,0.15,1,19,2,32,No,5.61,Yes,1
E1108,22,Female,Sales,Sales Representative,Diploma,Divorced,0.9,0.1,0.1,101852,11,Level 1,Yes,2,1,0.79,5,39,4,25,Yes,8.46,No,0
E1109,33,Female,Operations,Operations Manager,PhD,Divorced,6.7,1.4,0.6,115987,5,Level 5,No,3,0.42,0.82,3,55,3,31,Yes,8.04,Yes,0
E1110,53,Male,Sales,Sales Executive,High School,Divorced,4,0.9,0.6,93572,20,Level 1,No,4,0.96,0.5,4,49,1,10,Yes,2.97,Yes,0
E1111,44,Female,Human Resources,HR Executive,PhD,Single,9.7,0.4,0.2,64704,17,Level 3,Yes,2,0.72,0.44,2,53,1,38,Yes,9.27,Yes,0
E1112,54,Male,Sales,Sales Executive,Master,Married,5.2,4.2,4.2,66476,17,Level 1,No,4,0.25,0.87,2,38,1,2,Yes,6.76,No,0
E1113,33,Male,Marketing,Marketing Specialist,High School,Divorced,7.9,5.5,3.2,103576,24,Level 1,Yes,4,0.42,0.23,2,43,2,33,No,3.07,Yes,0
E1114,53,Female,Research,Research Associate,High School,Single,11.6,4.8,3.4,95756,22,Level 1,Yes,2,0.21,0.13,3,47,1,24,No,2.47,No,1
E1115,30,Male,Finance,Finance Manager,Diploma,Divorced,2.6,2,0.9,109964,6,Level 3,Yes,4,0.77,0.92,4,20,5,19,No,2.23,Yes,0
E1116,29,Female,Marketing,Marketing Specialist,Diploma,Single,5,4.7,3.2,23639,8,Level 5,Yes,2,0.81,0.58,5,20,2,17,No,0.98,No,0
E1117,38,Female,Operations,Operations Executive,Diploma,Married,8.6,5.3,2.3,45362,13,Level 2,Yes,3,0.8,0.4,5,30,3,2,No,4.82,Yes,0
E1118,49,Male,Sales,Sales Representative,Master,Single,1.9,1.1,0.9,104746,19,Level 4,No,4,0.25,0.95,5,14,3,13,No,2,No,0
E1119,55,Male,Research,Data Scientist,Bachelor,Divorced,15.7,9.9,7.4,87937,19,Level 4,Yes,4,0.84,0.28,4,16,1,8,No,2.79,Yes,0
E1120,27,Female,IT,System Administrator,High School,Single,1.4,0.5,0.5,106895,23,Level 3,No,1,0.49,0.88,1,36,4,7,No,7.25,No,0
E1121,31,Female,IT,System Administrator,High School,Single,5.4,3,2,70786,5,Level 5,No,1,0.9,0.63,4,23,1,18,No,2.96,Yes,0
E1122,29,Female,Research,Data Scientist,PhD,Single,5.2,2.6,0.1,75702,14,Level 5,No,2,0.29,0.63,1,57,5,11,No,8.29,No,0
E1123,32,Male,Human Resources,Recruiter,Diploma,Married,7.3,7,3.6,46150,5,Level 1,No,4,0.74,0.78,4,6,1,8,Yes,3.28,No,0
E1124,30,Female,IT,DevOps Engineer,Bachelor,Married,5.6,0.1,0.1,31857,9,Level 3,No,3,0.76,0.49,4,22,2,25,No,2.69,Yes,0
E1125,24,Female,Research,Research Associate,Diploma,Single,2.7,1.5,1,63844,21,Level 4,Yes,2,0.73,0.74,1,36,5,19,No,2.03,Yes,0
E1126,43,Male,Operations,Supply Chain Analyst,High School,Divorced,11.9,1.2,0.5,55328,11,Level 1,No,4,0.21,0.46,3,59,1,18,Yes,3.07,No,0
E1127,53,Female,Marketing,Marketing Specialist,Diploma,Divorced,14.4,3.7,0.7,34299,17,Level 3,Yes,3,0.31,0.58,4,50,1,8,No,7.06,No,0
E1128,36,Female,IT,Software Engineer,PhD,Single,11.8,8.2,1.3,100065,22,Level 2,Yes,2,0.24,0.32,4,45,2,9,No,7.51,Yes,1
E1129,29,Female,IT,DevOps Engineer,Diploma,Married,5.6,1.5,0.7,21699,7,Level 3,Yes,3,0.47,0.87,5,48,1,11,No,3.21,Yes,1
E1130,59,Female,IT,System Administrator,Master,Married,13.9,12.6,4.2,61578,24,Level 5,Yes,3,0.65,0.1,2,47,2,19,Yes,3.49,Yes,0
E1131,45,Female,Marketing,Brand Manager,High School,Divorced,20.9,11.2,0.3,113560,14,Level 2,Yes,2,0.67,0.31,4,48,5,36,No,6.86,Yes,0
E1132,36,Male,IT,Data Engineer,Diploma,Divorced,4.7,3.8,3,40070,21,Level 2,Yes,4,0.24,0.62,4,33,2,34,Yes,2.78,No,0
E1133,24,Male,Operations,Supply Chain Analyst,Diploma,Single,2.6,2.2,1,114323,21,Level 4,No,4,0.15,0.56,2,31,4,7,Yes,2.19,Yes,0
E1134,34,Male,Operations,Operations Executive,High School,Divorced,5,2.9,2,38924,21,Level 5,Yes,3,0.12,0.85,4,27,2,20,Yes,0.81,No,0
E1135,44,Male,Finance,Accountant,Diploma,Single,12,5.8,0.2,92360,22,Level 1,No,1,0.97,0.18,3,51,3,15,No,4.72,No,0
E1136,44,Female,Human Resources,HR Manager,Bachelor,Married,13.7,8.7,3.7,100851,6,Level 1,Yes,4,0.84,0.52,3,56,1,37,Yes,9.63,No,0
E1137,42,Female,Sales,Sales Representative,Master,Married,1.9,0.3,0.1,74072,15,Level 3,No,2,0.21,0.99,4,37,1,22,Yes,7.02,Yes,0
E1138,31,Male,Human Resources,HR Manager,PhD,Married,4.2,2.5,1,25770,23,Level 5,Yes,2,0.7,0.64,4,12,1,4,Yes,3.69,Yes,0
E1139,44,Male,Operations,Operations Executive,PhD,Married,19.2,3.1,2.7,87325,9,Level 5,No,3,0.16,0.78,3,32,3,37,Yes,1.88,No,0
E1140,37,Female,Human Resources,HR Executive,High School,Married,13.1,3,2.8,88084,16,Level 5,No,3,0.98,0.3,5,47,4,6,No,0.04,Yes,0
E1141,32,Male,Finance,Financial Analyst,PhD,Married,4.4,3.2,2.9,104434,18,Level 5,No,3,0.82,0.82,1,34,5,13,Yes,6.35,No,0
E1142,47,Male,Marketing,SEO Analyst,Master,Married,17.6,10.5,6.7,60553,18,Level 2,Yes,4,0.13,0.9,4,48,1,3,No,6.56,No,0
E1143,58,Female,Operations,Operations Manager,PhD,Single,32.6,4.8,1.2,33801,21,Level 2,Yes,2,0.36,0.44,1,11,3,20,Yes,5.08,No,0
E1144,41,Female,Research,Data Scientist,Diploma,Single,19.5,5.4,0.8,76103,19,Level 3,Yes,1,0.65,0.97,1,21,4,7,Yes,2.75,Yes,0
E1145,30,Female,IT,Software Engineer,PhD,Married,7.7,4.9,4.5,69056,15,Level 2,Yes,4,0.59,0.77,4,24,3,20,Yes,0.06,Yes,0
E1146,49,Female,IT,System Administrator,Bachelor,Single,23.9,13.5,4,89434,11,Level 3,No,2,0.35,0.31,2,52,1,30,Yes,7.07,No,0
E1147,59,Male,Research,Research Associate,Bachelor,Divorced,29.5,4.5,3.7,117852,14,Level 3,No,3,0.27,0.56,2,24,4,2,No,6.25,No,0
E1148,57,Female,Operations,Supply Chain Analyst,Bachelor,Married,4.4,2.5,0.3,47687,19,Level 3,Yes,1,0.5,0.84,4,5,1,30,Yes,5.39,No,0
E1149,48,Male,Human Resources,Recruiter,PhD,Divorced,22.8,2,1,60747,6,Level 2,Yes,1,0.46,0.8,4,49,2,30,Yes,5.72,No,0
E1150,22,Male,Human Resources,HR Executive,Master,Married,0.7,0.4,0.3,70672,13,Level 2,No,2,0.92,0.12,1,58,4,16,Yes,0.45,No,0
E1151,32,Female,Research,Data Scientist,Bachelor,Single,5,1.3,1.1,69943,12,Level 2,Yes,3,0.98,0.65,1,43,5,24,No,0.57,No,0
E1152,37,Male,Research,Data Scientist,PhD,Married,1.1,0.6,0.3,90503,20,Level 3,No,3,0.47,0.53,3,34,3,38,No,3.9,Yes,0
E1153,33,Male,Research,Research Associate,High School,Divorced,5.3,2.4,2.1,96892,15,Level 3,No,2,0.26,0.78,1,29,1,4,Yes,4.33,No,0
E1154,45,Male,Research,Research Analyst,Diploma,Single,14.8,10.4,2.9,78934,21,Level 5,No,2,0.34,0.71,2,47,3,13,No,9.31,No,0
E1155,26,Female,Marketing,Marketing Specialist,High School,Divorced,2.7,1.7,1,74290,22,Level 3,No,4,0.19,0.17,2,17,3,33,No,3.06,Yes,1
E1156,40,Female,Sales,Sales Representative,Master,Single,7.3,7.3,1.3,79201,17,Level 1,Yes,2,0.86,0.83,4,50,3,17,Yes,7.63,No,0
E1157,23,Male,Sales,Sales Representative,Bachelor,Divorced,1.4,1.4,0.3,97411,9,Level 4,Yes,3,0.35,0.65,4,55,4,15,No,5.06,Yes,1
E1158,23,Male,Marketing,SEO Analyst,PhD,Married,1.1,0.3,0.2,119712,15,Level 3,Yes,1,0.6,0.45,3,23,3,10,Yes,5.21,Yes,0
E1159,55,Female,IT,DevOps Engineer,Bachelor,Divorced,13,4.4,1.4,72708,10,Level 1,Yes,1,0.37,0.43,3,21,3,28,Yes,9.79,No,0
E1160,38,Male,Human Resources,HR Manager,PhD,Divorced,13.2,9.4,7.5,90583,12,Level 3,No,2,0.7,0.52,3,55,3,16,Yes,3.03,No,0
E1161,57,Female,IT,Data Engineer,Master,Single,19.3,4.9,1.3,98118,12,Level 4,No,2,0.42,0.8,2,30,4,35,No,7.91,Yes,0
E1162,43,Female,Finance,Finance Manager,High School,Married,6.9,1.1,0.4,104417,13,Level 3,Yes,1,0.86,0.84,4,57,3,14,No,0.03,Yes,0
E1163,30,Female,Marketing,Brand Manager,Diploma,Divorced,4,2.2,0.6,82001,15,Level 3,Yes,2,0.28,0.56,2,24,5,23,Yes,9.27,No,0
E1164,51,Male,Operations,Operations Manager,Diploma,Single,3.2,0.5,0.2,38502,16,Level 2,No,4,0.55,0.11,5,58,4,38,No,0.83,No,0
